date,time,tick
2025-12-19,14:16:32,88013.36
2025-12-19,14:16:32,88013.36
2025-12-19,14:16:32,88013.36
2025-12-19,14:16:32,88013.36
2025-12-19,14:16:32,88013.36
2025-12-19,14:16:32,88013.36
2025-12-19,14:16:32,88013.36
2025-12-19,14:16:32,88013.36
2025-12-19,14:16:32,88013.36
2025-12-19,14:16:32,88013.36
2025-12-19,14:16:32,88013.36
2025-12-19,14:16:32,88013.36
2025-12-19,14:16:33,88013.36
2025-12-19,14:16:33,88013.36
2025-12-19,14:16:33,88013.36
2025-12-19,14:16:35,88013.37
2025-12-19,14:16:36,88013.36
2025-12-19,14:16:36,88013.36
2025-12-19,14:16:37,88013.36
2025-12-19,14:16:37,88013.36
2025-12-19,14:16:37,88013.36
2025-12-19,14:16:37,88013.36
2025-12-19,14:16:37,88013.36
2025-12-19,14:16:37,88013.36
2025-12-19,14:16:37,88013.36
2025-12-19,14:16:37,88013.36
2025-12-19,14:16:37,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.36
2025-12-19,14:16:38,88013.35
2025-12-19,14:16:38,88013.35
2025-12-19,14:16:38,88013.35
2025-12-19,14:16:38,88013.35
2025-12-19,14:16:38,88013.35
2025-12-19,14:16:38,88013.35
2025-12-19,14:16:38,88013.35
2025-12-19,14:16:38,88013.35
2025-12-19,14:16:38,88013.35
2025-12-19,14:16:38,88013.35
2025-12-19,14:16:38,88013.25
2025-12-19,14:16:38,88013.25
2025-12-19,14:16:38,88013.25
2025-12-19,14:16:38,88013.25
2025-12-19,14:16:38,88012.92
2025-12-19,14:16:38,88012.92
2025-12-19,14:16:38,88012.92
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.35
2025-12-19,14:16:38,88012.34
2025-12-19,14:16:38,88012.34
2025-12-19,14:16:38,88012.34
2025-12-19,14:16:38,88012.34
2025-12-19,14:16:38,88012.34
2025-12-19,14:16:38,88012.34
2025-12-19,14:16:38,88012.34
2025-12-19,14:16:38,88012.34
2025-12-19,14:16:38,88012.34
2025-12-19,14:16:38,88012.34
2025-12-19,14:16:38,88012.34
2025-12-19,14:16:38,88012.34
2025-12-19,14:16:38,88011.85
2025-12-19,14:16:38,88011.85
2025-12-19,14:16:38,88011.85
2025-12-19,14:16:38,88011.85
2025-12-19,14:16:38,88011.85
2025-12-19,14:16:38,88011.85
